Estacion,ID
Observatorio,OBS
Tacubaya,TAC
Juanacatlan,JCT
Chapultepec,CHA
Sevilla,SEV
Insurgentes,INS
Cuauhtemoc,CUA
Salto del Agua,SAL
Isabel la Catolica,ISA
Pino Suarez,PIN
Merced,MCD
Candelaria,CAN
San Lazaro,SLA
Moctezuma,MOC
Balbuena,BLB
Boulevard Puerto Aereo,BPA
Gomez Farias,GOF
Zaragoza,ZAR
Pantitlan,PAN
Cuatro Caminos,CCA
Panteones,PNT
Tacuba,TCB
Cuitlahuac,CUI
Popotla,PPT
Colegio Militar,COL
Normal,NML
San Cosme,SCO
Revolucion,REV
Allende,ALL
Zocalo,ZOC
San Antonio Abad,SAA
Chabacano,CHB
Viaducto,VIA
Xola,XOL
Villa de Cortes,VCO
Nativitas,NAT
Portales,POR
Ermita,ERM
General Anaya,GEN
Tasquena,TAS
Indios Verdes,IND
Deportivo 18 de Marzo,DEP
Potrero,POT
La Raza,LRA
Tlatelolco,TLA
Hidalgo,HGO
Juarez,JUA
Balderas,BAL
Ninos Heroes,NIH
Hospital General,HOG
Centro Medico,CMD
Etiopia/Plaza de la Transparencia,ETI
Eugenia,EUG
Division del Norte,DIV
Zapata,ZAP
Coyoacan,COY
Viveros/Derechos Humanos,VIV
Miguel angel de Quevedo,MIQ
Copilco,COO
Universidad,UNI
Martin Carrera,MCA
Talisman,TAL
Bondojito,BON
Consulado,CON
Canal del Norte,CAD
Morelos,MOR
Fray Servando,FRA
Politecnico,IPN
Autobuses del Norte,AUT
Misterios,MIS
Valle Gomez,VAG
Eduardo Molina,EMO
Aragon,ARA
Terminal Aerea,TMA
Hangares,HAN
El Rosario,ERO
Tezozomoc,TEZ
UAM-Azcapotzalco,AZC
Ferreria/Arena Ciudad de Mexico,FER
Norte 45,NOR
Vallejo,VAL
Instituto del Petroleo,PET
Lindavista,LIN
La Villa-Basilica,VBA
Aquiles Serdan,AQU
Camarones,CAM
Refineria,REF
San Joaquin,SAJ
Polanco,POL
Auditorio,AUD
Constituyentes,CTY
San Pedro de los Pinos,SPP
San Antonio,SAT
Mixcoac,MIX
Barranca del Muerto,BDM
Garibaldi-Lagunilla,GAR
Bellas Artes,BEL
San Juan de Letran,SJL
Doctores,DOC
Obrera,OBR
La Viga,LAV
Santa Anita,SAN
Coyuya,CYU
Iztacalco,IZC
Apatlaco,APA
Aculco,ACU
Escuadron 201,ESC
Atlalilco,ATL
Iztapalapa,IZT
Cerro de la Estrella,CDE
UAM-I,UAM
Constitucion de 1917,CNT
Puebla,PUE
Ciudad Deportiva,CID
Velodromo,VEL
Mixiuhca,MIH
Jamaica,JAM
Lazaro Cardenas,LAZ
Chilpancingo,CHI
Patriotismo,PAT
Agricola Oriental,AGR
Canal de San Juan,CSJ
Tepalcates,TPA
Guelatao,GAO
Penon Viejo,PEN
Acatitla,ACA
Santa Marta,SMA
Los Reyes,REY
La Paz,LPZ
Ciudad Azteca,CAZ
Plaza Aragon,PLA
Olimpica,OLI
Ecatepec,ECA
Muzquiz,MUZ
Rio de los Remedios,RIO
Impulsora,IMP
Nezahualcoyotl,NEZ
Villa de Aragon,VAR
Bosque de Aragon,BOS
Deportivo Oceania,DEO
Oceania,OCE
Romero Rubio,ROM
Ricardo Flores Magon,RFL
Tepito,TEP
Lagunilla,LAG
Guerrero,GUE
Buenavista,BUE
Tlahuac,TLH
Tlaltenco,TLT
Zapotitlan,ZPT
Nopalera,NPA
Olivos,OLV
Tezonco,TZC
Periferico Oriente,PFO
Calle 11,COC
Lomas Estrella,LES
San Andres Tomatlan,STM
Culhuacan,CLH
Mexicaltzingo,MXC
Eje Central,EJE
Parque de los Venados,PVE
Hospital 20 de Noviembre,HVN
Insurgentes Sur,ISU
