Origen,Destino,Peso
OBS,TAC,1
TAC,JCT,1
JCT,CHA,1
CHA,SEV,1
SEV,INS,1
INS,CUA,1
CUA,BAL,1
BAL,SAL,1
SAL,ISA,1
ISA,PIN,1
PIN,MCD,1
MCD,CAN,1
CAN,SLA,1
SLA,MOC,1
MOC,BLB,1
BLB,BPA,1
BPA,GOF,1
GOF,ZAR,1
ZAR,PAN,1
PAN,ZAR,1
ZAR,GOF,1
GOF,BPA,1
BPA,BLB,1
BLB,MOC,1
MOC,SLA,1
SLA,CAN,1
CAN,MCD,1
MCD,PIN,1
PIN,ISA,1
ISA,SAL,1
SAL,BAL,1
BAL,CUA,1
CUA,INS,1
INS,SEV,1
SEV,CHA,1
CHA,JCT,1
JCT,TAC,1
TAC,OBS,1
CCA,PNT,1
PNT,TCB,1
TCB,CUI,1
CUI,PPT,1
PPT,COL,1
COL,NML,1
NML,SCO,1
SCO,REV,1
REV,HGO,1
HGO,BEL,1
BEL,ALL,1
ALL,ZOC,1
ZOC,PIN,1
PIN,SAA,1
SAA,CHB,1
CHB,VIA,1
VIA,XOL,1
XOL,NAT,1
NAT,POR,1
POR,ERM,1
ERM,GEN,1
GEN,TAS,1
TAS,GEN,1
GEN,ERM,1
ERM,POR,1
POR,NAT,1
NAT,XOL,1
XOL,VIA,1
VIA,CHB,1
CHB,SAA,1
SAA,PIN,1
PIN,ZOC,1
ZOC,ALL,1
ALL,BEL,1
BEL,HGO,1
HGO,REV,1
REV,SCO,1
SCO,NML,1
NML,COL,1
COL,PPT,1
PPT,CUI,1
CUI,TCB,1
TCB,PNT,1
PNT,CCA,1
IND,DEP,1
DEP,POT,1
POT,LRA,1
LRA,TLA,1
TLA,GUE,1
GUE,HGO,1
HGO,JUA,1
JUA,BAL,1
BAL,NIH,1
NIH,HOG,1
HOG,CMD,1
CMD,ETI,1
ETI,EUG,1
EUG,DIV,1
DIV,ZAP,1
ZAP,COY,1
COY,VIV,1
VIV,MIQ,1
MIQ,COO,1
COO,UNI,1
UNI,COO,1
COO,MIQ,1
MIQ,VIV,1
VIV,COY,1
COY,ZAP,1
ZAP,DIV,1
DIV,EUG,1
EUG,ETI,1
ETI,CMD,1
CMD,HOG,1
HOG,NIH,1
NIH,BAL,1
BAL,JUA,1
JUA,HGO,1
HGO,GUE,1
GUE,TLA,1
TLA,LRA,1
LRA,POT,1
POT,DEP,1
DEP,IND,1
MCA,TAL,1
TAL,BON,1
BON,CON,1
CON,CAD,1
CAD,MOR,1
MOR,CAN,1
CAN,FRA,1
FRA,JAM,1
JAM,SAN,1
SAN,JAM,1
JAM,FRA,1
FRA,CAN,1
CAN,MOR,1
MOR,CAD,1
CAD,CON,1
CON,BON,1
BON,TAL,1
TAL,MCA,1
IPN,PET,1
PET,AUT,1
AUT,LRA,1
LRA,MIS,1
MIS,VAG,1
VAG,CON,1
CON,EMO,1
EMO,ARA,1
ARA,OCE,1
OCE,TMA,1
TMA,HAN,1
HAN,PAN,1
PAN,HAN,1
HAN,TMA,1
TMA,OCE,1
OCE,ARA,1
ARA,EMO,1
EMO,CON,1
CON,VAG,1
VAG,MIS,1
MIS,LRA,1
LRA,AUT,1
AUT,PET,1
PET,IPN,1
ERO,TEZ,1
TEZ,AZC,1
AZC,FER,1
FER,NOR,1
NOR,VAL,1
VAL,PET,1
PET,LIN,1
LIN,DEP,1
DEP,VBA,1
VBA,MCA,1
MCA,VBA,1
VBA,DEP,1
DEP,LIN,1
LIN,PET,1
PET,VAL,1
VAL,NOR,1
NOR,FER,1
FER,AZC,1
AZC,TEZ,1
TEZ,ERO,1
ERO,AQU,1
AQU,CAM,1
CAM,REF,1
REF,TCB,1
TCB,SAJ,1
SAJ,POL,1
POL,AUD,1
AUD,CTY,1
CTY,TAC,1
TAC,SPP,1
SPP,SAT,1
SAT,MIX,1
MIX,BDM,1
BDM,MIX,1
MIX,SAT,1
SAT,SPP,1
SPP,TAC,1
TAC,CTY,1
CTY,AUD,1
AUD,POL,1
POL,SAJ,1
SAJ,TCB,1
TCB,REF,1
REF,CAM,1
CAM,AQU,1
AQU,ERO,1
GAR,BEL,1
BEL,SJL,1
SJL,SAL,1
SAL,DOC,1
DOC,OBR,1
OBR,CHB,1
CHB,LAV,1
LAV,SAN,1
SAN,CYU,1
CYU,IZC,1
IZC,APA,1
APA,ACU,1
ACU,ESC,1
ESC,ATL,1
ATL,IZT,1
IZT,CDE,1
CDE,UAM,1
UAM,CNT,1
CNT,UAM,1
UAM,CDE,1
CDE,IZT,1
IZT,ATL,1
ATL,ESC,1
ESC,ACU,1
ACU,APA,1
APA,IZC,1
IZC,CYU,1
CYU,SAN,1
SAN,LAV,1
LAV,CHB,1
CHB,OBR,1
OBR,DOC,1
DOC,SAL,1
SAL,SJL,1
SJL,BEL,1
BEL,GAR,1
PAN,PUE,1
PUE,CID,1
CID,VEL,1
VEL,MIH,1
MIH,JAM,1
JAM,CHB,1
CHB,LAZ,1
LAZ,CMD,1
CMD,CHI,1
CHI,PAT,1
PAT,TAC,1
TAC,PAT,1
PAT,CHI,1
CHI,CMD,1
CMD,LAZ,1
LAZ,CHB,1
CHB,JAM,1
JAM,MIH,1
MIH,VEL,1
VEL,CID,1
CID,PUE,1
PUE,PAN,1
PAN,AGR,1
AGR,CSJ,1
CSJ,TPA,1
TPA,GAO,1
GAO,PEN,1
PEN,ACA,1
ACA,SMA,1
SMA,REY,1
REY,LPZ,1
LPZ,REY,1
REY,SMA,1
SMA,ACA,1
ACA,PEN,1
PEN,GAO,1
GAO,TPA,1
TPA,CSJ,1
CSJ,AGR,1
AGR,PAN,1
CAZ,PLA,1
PLA,OLI,1
OLI,ECA,1
ECA,MUZ,1
MUZ,RIO,1
RIO,IMP,1
IMP,NEZ,1
NEZ,VAR,1
VAR,BOS,1
BOS,DEO,1
DEO,OCE,1
OCE,ROM,1
ROM,RFL,1
RFL,SLA,1
SLA,MOR,1
MOR,TEP,1
TEP,LAG,1
LAG,GAR,1
GAR,GUE,1
GUE,BUE,1
BUE,GUE,1
GUE,GAR,1
GAR,LAG,1
LAG,TEP,1
TEP,MOR,1
MOR,SLA,1
SLA,RFL,1
RFL,ROM,1
ROM,OCE,1
OCE,DEO,1
DEO,BOS,1
BOS,VAR,1
VAR,NEZ,1
NEZ,IMP,1
IMP,RIO,1
RIO,MUZ,1
MUZ,ECA,1
ECA,OLI,1
OLI,PLA,1
PLA,CAZ,1
TLH,TLT,1
TLT,ZPT,1
ZPT,NPA,1
NPA,OLV,1
OLV,TZC,1
TZC,PFO,1
PFO,COC,1
COC,LES,1
LES,STM,1
STM,CLH,1
CLH,ATL,1
ATL,MXC,1
MXC,ERM,1
ERM,EJE,1
EJE,PVE,1
PVE,ZAP,1
ZAP,HVN,1
HVN,ISU,1
ISU,MIX,1
MIX,ISU,1
ISU,HVN,1
HVN,ZAP,1
ZAP,PVE,1
PVE,EJE,1
EJE,ERM,1
ERM,MXC,1
MXC,ATL,1
ATL,CLH,1
CLH,STM,1
STM,LES,1
LES,COC,1
COC,PFO,1
PFO,TZC,1
TZC,OLV,1
OLV,NPA,1
NPA,ZPT,1
ZPT,TLT,1
TLT,TLH,1
